model,representation,dataset,train_data,alert_threshold_90,alert_threshold_95,alert_threshold_99,n,positive_rate,auroc,auprc
vae,turn_embedding_pool_side,malt,SWE benign only,0.3147718906402588,0.3436931073665619,0.40490713715553284,756,0.082010582010582,0.7959468253230455,0.18638489557071855
vae,tfidf_svd_side,malt,SWE benign only,0.09635420143604279,0.1195000410079956,0.2088862806558609,756,0.082010582010582,0.4722506274983732,0.11146532934586237
vae,token_padding_masked,malt,SWE benign only,0.006685329135507345,0.008342115208506584,0.010583004914224148,756,0.082010582010582,0.5420423910012085,0.09308572177149915
vae,token_padding_no_mask,malt,SWE benign only,0.004027289338409901,0.004534806590527296,0.005563497077673674,756,0.082010582010582,0.49644417588546996,0.08287295278944454
vae,token_padding_no_mask,trace,SWE benign only,0.004027289338409901,0.004534806590527296,0.005563497077673674,517,0.5183752417794971,0.5325031469160223,0.5534579460499451
vae,token_padding_masked,trace,SWE benign only,0.006685329135507345,0.008342115208506584,0.010583004914224148,517,0.5183752417794971,0.48197266678654915,0.5133684746010576
vae,turn_embedding_pool_side,trace,SWE benign only,0.3147718906402588,0.3436931073665619,0.40490713715553284,517,0.5183752417794971,0.4650242762093149,0.48199032950856024
vae,tfidf_svd_side,trace,SWE benign only,0.09635420143604279,0.1195000410079956,0.2088862806558609,517,0.5183752417794971,0.4564077204339747,0.47982099683576174
